productId,imageURL,productURL,productTitle,price,discount percentage,original price,brand,material,style,warranty,colors
"90","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__5cc1d13af1424281b265e866c86a3731_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj3196","Bolon Eyewear - Glasses - BJ3196","2,384,000","20","2,980,000","Bolon - Pháp","Nhựa Acetate","Vuông","12 tháng","Xám-Nâu"
"91","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__5__e1ded9aa2e4243829c1cf6bda74ceef9_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj3170","Bolon Eyewear - Glasses - BJ3170","2,384,000","20","2,980,000","Bolon - Pháp","Nhựa Acetate","Mắt Mèo","12 tháng","Nâu-Đen"
"92","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__2__ee3866e600ec4037a1c1c3a457292b31_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bf3000","Bolon Eyewear - Glasses - BF3000","2,384,000","20","2,980,000","Bolon - Pháp","Nhựa Acetate","Mắt Mèo","12 tháng","Xám"
"93","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__2a7be21d4b834c65b69ff7da30fe384e_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj3201","Bolon Eyewear - Glasses - BJ3201","2,624,000","20","3,280,000","Bolon - Pháp","Nhựa Acetate","Vuông","12 tháng","Xám-Đen-Đồi Mồi"
"94","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__6497c4eb0b3947f9955ddbf3be92cd20_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bj3200","Bolon Eyewear - Glasses - BJ3200","2,384,000","27","3,280,000","Bolon - Pháp","Nhựa Acetate","Tròn","12 tháng","Nâu-Đồi Mồi-Đen-Xám"
"95","https://product.hstatic.net/1000096196/product/sex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_mat_meo__5__50f9d6226da94898a8c69e1142ce4ee2_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bh6017","Bolon Eyewear - Glasses - BH6017","2,624,000","20","3,280,000","Bolon - Pháp","Titanium | Nhựa","Mắt mèo","12 tháng","Xám-Nâu"
"96","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__4__bd92625b06a64087810ab609cb982e5c_large.jpg","https://matkinhshady.com/products/bolon-eyewear-glasses-bt1595","Bolon Eyewear - Glasses - BT1595","3,424,000","20","4,280,000","Bolon - Pháp","Titanium","Vuông","12 tháng","Bạc"
"97","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__8c642bdbef5f4a07a94f76dba9eb8726_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj6186","Molsion Eyewear - Glasses - MJ6186","2,064,000","20","2,580,000","Molsion - Pháp","Thép cao cấp | Nhựa","Tròn","12 tháng","Đen-Xanh Lá-Nâu-Xám"
"98","https://product.hstatic.net/1000096196/product/unisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_tron__5__bfde561cb7e14abf9b93ce0a57da1a63_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj7329","Molsion Eyewear - Glasses - MJ7329","2,064,000","20","2,580,000","Molsion - Pháp","Thép cao cấp","Tròn","12 tháng","Hồng-Bạc"
"99","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__31b995428c2c45c1a02d78691e624268_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj5088","Molsion Eyewear - Glasses - MJ5088","2,224,000","20","2,780,000","Molsion - Pháp","Titanium | Nhựa","Vuông","12 tháng","Trắng-Nâu"
"100","https://product.hstatic.net/1000096196/product/nisex__gong_kinh_can__gong_kinh_gia_can_chong_bui__kieu_dang_vuong__5__2b9ea95a423142dab2101f4fef24ad7b_large.jpg","https://matkinhshady.com/products/molsion-eyewear-glasses-mj3086","Molsion Eyewear - Glasses - MJ3086","2,064,000","20","2,580,000","Molsion - Pháp","Nhựa Acetate","Vuông","12 tháng","Đen-Xám"
